pool,linkage_method,denoise,lookback_years,rebalance_frequency,drift_threshold,ann_return,ann_vol,sharpe_ratio,sortino_ratio,max_drawdown,ann_turnover,total_friction_costs,total_taxes,rebalance_events
european,ward,False,5,monthly,0.0,0.013057975227849905,0.037319006814599626,0.349901466904566,0.46571230567748023,-0.1571534349268279,0.8930931697589525,593.6838374195034,7443.4762687178045,161
european,ward,False,5,monthly,0.015,0.012976986727077922,0.037465138206401065,0.3463749861427377,0.4599214727137561,-0.15829844199807586,0.8050447059281545,535.1536060215084,7178.278978809897,160
european,ward,False,5,monthly,0.03,0.011740029411279052,0.037678638400184955,0.3115831651501882,0.4172051420585537,-0.1732465133533793,0.7901995595653608,525.285292436604,5760.934382663052,161
european,ward,False,5,quarterly,0.0,0.011597964423397222,0.03706688144312783,0.3128929106483404,0.41449081783059116,-0.1575927715879203,0.6759748022834643,444.17235468317983,5704.901893011974,54
european,ward,False,5,quarterly,0.015,0.01189956551860294,0.03763032054644082,0.31622280506267,0.4175437445029585,-0.1598470837188165,0.5796113445986706,380.85345024963976,4171.214604870821,54
european,ward,False,5,quarterly,0.03,0.012088509262639935,0.03804549469461312,0.3177382594095051,0.4174135533552217,-0.1562095172721047,0.542672497821899,356.58151807599114,5239.55804762742,53
european,ward,False,5,semi-annually,0.0,0.017992340631278525,0.037389576869562735,0.4812127372836178,0.643678329209505,-0.15563616965715701,0.6494256025261994,418.54835546794624,9578.406152808579,27
european,ward,False,5,semi-annually,0.015,0.01900887613740898,0.03820676494640504,0.4975264501999552,0.6618843508207305,-0.1535064507514119,0.567508675341163,365.7537088988632,7759.74147815782,27
european,ward,False,5,semi-annually,0.03,0.018905360679034144,0.03851585574586723,0.49084618043473427,0.654823851424763,-0.1606728616267089,0.5355408260097244,345.1507472763563,9307.336647259042,27
etf,single,True,2,monthly,0.0,0.04163931597048087,0.053377703222595614,0.7800881914464671,1.073896890745445,-0.17987746151539327,1.247657941873985,1495.1399894818433,62203.626685861556,289
etf,single,True,2,monthly,0.015,0.042862944166073946,0.053493925673313854,0.8012675014325353,1.1012055970773558,-0.17963029947396975,1.086007233302526,1301.424684507914,63871.96655435996,281
etf,single,True,2,monthly,0.03,0.04300544795760408,0.05339904199648612,0.8053599156410712,1.109368454160115,-0.18672268825138724,1.0561133633557493,1265.6011475450007,63278.041979274916,282
